DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	mean
South Andaman	3	35	Andaman & Nicobar Island	640	44.2139187296
Nicobar	1	35	Andaman & Nicobar Island	638	7
North & Middle Andaman	2	35	Andaman & Nicobar Island	639	0
Lawangtlai	7	15	Mizoram	287	0	
Lunglei	6	15	Mizoram	286	0	
Saiha	8	15	Mizoram	288	0	
Dibang Valley	13	12	Arunanchal Pradesh	257	0	
Upper Siang	8	12	Arunanchal Pradesh	252	0	
Lower Dibang Valley	14	12	Arunanchal Pradesh	258	3.4
Tuensang	7	13	Nagaland	267	0	
Mon	1	13	Nagaland	261	0
Tirap	10	12	Arunanchal Pradesh	254	0	
Sivasagar	12	18	Assam	311	27.7857142857
Changlang	9	12	Arunanchal Pradesh	253	0	
Lohit	15	12	Arunanchal Pradesh	259	5.5
Anjaw	16	12	Arunanchal Pradesh	260	0
Tinsukia	10	18	Assam	309	38.25
Dhemaji	9	18	Assam	308	11
Dibrugarh	11	18	Assam	310	35.725
East Siang	7	12	Arunanchal Pradesh	251	9.2
West Siang	6	12	Arunanchal Pradesh	250	0
Upper Subansiri	5	12	Arunanchal Pradesh	249	0	
Jorhat	13	18	Assam	312	28.6428571429
Lakhimpur	8	18	Assam	307	14.8571428571
Lower Subansiri	11	12	Arunanchal Pradesh	255	0
Papum Pare	4	12	Arunanchal Pradesh	248	26.2222222222
Kurung Kumey	12	12	Arunanchal Pradesh	256	
East Kameng	3	12	Arunanchal Pradesh	247	0	
West Kameng	2	12	Arunanchal Pradesh	246	0
Tawang	1	12	Arunanchal Pradesh	245	0	
Sonitpur	7	18	Assam	306	24.15
Golaghat	14	18	Assam	313	20
Karbi Anglong	15	18	Assam	314	27.2998123827
Nagaon	6	18	Assam	305	26.1
Marigaon	5	18	Assam	304	14.5
Jaintia Hills	7	17	Meghalaya	299	13
Dima Hasao	16	18	Assam	315	13.3333333333
Dimapur	5	13	Nagaland	265	50.9568603954
Peren	11	13	Nagaland	271	0
Kohima	10	13	Nagaland	270	28.6666666667
Wokha	4	13	Nagaland	264	0	
Phek	6	13	Nagaland	266	
Zunheboto	3	13	Nagaland	263	
Mokokchung	2	13	Nagaland	262	11
Longleng	8	13	Nagaland	268	
Kiphire	9	13	Nagaland	269	
Senapati	1	14	Manipur	272	
Ukhrul	8	14	Manipur	279	
Tamenglong	2	14	Manipur	273	
Imphal East	7	14	Manipur	278	35.72
Chandel	9	14	Manipur	280	
Thoubal	5	14	Manipur	276	6.5
Bishnupur	4	14	Manipur	275	7
Churachandpur	3	14	Manipur	274	12.5
Champhai	4	15	Mizoram	284	
Aizawl	3	15	Mizoram	283	42
Serchhip	5	15	Mizoram	285	
Mamit	1	15	Mizoram	281	0
Kolasib	2	15	Mizoram	282	
Hailakandi	19	18	Assam	318	14
Karimganj	18	18	Assam	317	
Cachar	17	18	Assam	316	32.6296296296
Imphal West	6	14	Manipur	277	
Ri Bhoi	5	17	Meghalaya	297	
East Khasi Hills	6	17	Meghalaya	298	47.9736842105
West Khasi Hills	4	17	Meghalaya	296	
West Tripura	1	16	Tripura	289	52.9549221497
Dhalai	3	16	Tripura	291	
North Tripura	4	16	Tripura	292	25.5
South Tripura	2	16	Tripura	290	
South Garo Hills	3	17	Meghalaya	295	
East Garo Hills	2	17	Meghalaya	294	
West Garo Hills	1	17	Meghalaya	293	33
Dhubri	2	18	Assam	301	16.5
Goalpara	3	18	Assam	302	6
Bongaigaon	20	18	Assam	319	
Chirang	21	18	Assam	320	23.3385261684
Kokrajhar	1	18	Assam	300	16.5008347245
Barpeta	4	18	Assam	303	12.326745164
Baksa	25	18	Assam	324	0
Kamrup	22	18	Assam	321	28.6083262532
Kamrup Metropolitan	23	18	Assam	322	57.7288353292
Nalbari	24	18	Assam	323	17.7758186398
Darrang	26	18	Assam	325	15.3501646542
Udalguri	27	18	Assam	326	11
Leh (ladakh)	3	1	Jammu & Kashmir	3	3.2
Data Not Available	99	99	Jammu & Kashmir	0	11.676056338
Punch	5	1	Jammu & Kashmir	5	9.6666666667
Kupwara	1	1	Jammu & Kashmir	1	
Baramula	8	1	Jammu & Kashmir	8	30.473066706
Bandipore	9	1	Jammu & Kashmir	9	7
Ganderbal	11	1	Jammu & Kashmir	11	
Srinagar	10	1	Jammu & Kashmir	10	38.3215485132
Badgam	2	1	Jammu & Kashmir	2	28.0947227789
Pulwama	12	1	Jammu & Kashmir	12	4.6530705775
Shupiyan	13	1	Jammu & Kashmir	13	3.1752873563
Rajouri	6	1	Jammu & Kashmir	6	17
Kulgam	15	1	Jammu & Kashmir	15	3.5987565758
Anantnag	14	1	Jammu & Kashmir	14	4.4818765647
Kargil	4	1	Jammu & Kashmir	4	10
Kishtwar	18	1	Jammu & Kashmir	18	
Lahul & Spiti	3	2	Himachal Pradesh	25	
Chamba	1	2	Himachal Pradesh	23	14
Kangra	2	2	Himachal Pradesh	24	27.9092741935
Kullu	4	2	Himachal Pradesh	26	19
Kinnaur	12	2	Himachal Pradesh	34	
Mandi	5	2	Himachal Pradesh	27	26.5
Hamirpur	6	2	Himachal Pradesh	28	19.3074204947
Solan	9	2	Himachal Pradesh	31	46
Bilaspur	8	2	Himachal Pradesh	30	
Una	7	2	Himachal Pradesh	29	24.75
Rupnagar	17	3	Punjab	51	34.1206688502
Shahid Bhagat Singh Nagar	5	3	Punjab	39	29.7644780167
Shimla	11	2	Himachal Pradesh	33	50
Sirmaur	10	2	Himachal Pradesh	32	30.7056768559
